dteday,season,mnth,holiday,weekday,temp,atemp,hum,windspeed,rentals
2011-01-01,spring,January,0,Saturday,57.3995246,64.72625,80.58330000000001,10.749882,985
2011-01-02,spring,January,0,Sunday,58.8246764,63.83651,69.6087,16.652113,801
2011-01-03,spring,January,0,Monday,46.4916632,49.04645,43.7273,16.636703,1349
2011-01-04,spring,January,0,Tuesday,46.760000000000005,51.09098,59.0435,10.739832,1562
2011-01-05,spring,January,0,Wednesday,48.7494266,52.634299999999996,43.695699999999995,12.522300000000001,1600
2011-01-06,spring,January,0,Thursday,47.0808824,52.98881,51.8261,6.0008684,1606
2011-01-07,spring,January,0,Friday,46.5033236,50.79551,49.869600000000005,11.304642,1510
2011-01-08,spring,January,0,Saturday,44.177,46.60286,53.5833,17.875868,959
2011-01-09,spring,January,0,Sunday,42.2089754,42.45575,43.416700000000006,24.25065,822
2011-01-10,spring,January,0,Monday,43.1314754,45.57992,48.2917,14.958889000000001,1321
2011-01-11,spring,January,0,Tuesday,44.4789158,49.23176,68.63640000000001,8.182844,1263
2011-01-12,spring,January,0,Wednesday,44.747252599999996,46.44257,59.954499999999996,20.410009,1162
2011-01-13,spring,January,0,Thursday,44.177,45.57947,47.041700000000006,20.166999999999998,1406
2011-01-14,spring,January,0,Friday,43.872206,48.95717,53.7826,8.478716,1421
2011-01-15,spring,January,0,Saturday,49.219975399999996,54.330079999999995,49.875,10.583521000000001,1248
2011-01-16,spring,January,0,Sunday,49.0970246,53.07953,48.375,12.625010999999999,1204
2011-01-17,spring,January,1,Monday,44.9764754,47.90939,53.75,12.999139,1000
2011-01-18,spring,January,0,Tuesday,47.9900246,52.90997,86.16669999999999,9.833924999999999,683
2011-01-19,spring,January,0,Wednesday,53.5624412,58.85798,74.1739,13.957239,1650
2011-01-20,spring,January,0,Thursday,51.311024599999996,54.954499999999996,53.833299999999994,13.125568,1927
2011-01-21,spring,January,0,Friday,45.0995,46.20497,45.7083,23.667214,1543
2011-01-22,spring,January,0,Saturday,36.36382352,39.116264,40.0,11.52199,981
2011-01-23,spring,January,0,Sunday,39.12330146,40.895519,43.6522,16.5222,986
2011-01-24,spring,January,0,Monday,39.18747794,42.6137,49.1739,10.60811,1416
2011-01-25,spring,January,0,Tuesday,48.4926764,53.10734,61.695699999999995,8.696332,1985
2011-01-26,spring,January,0,Wednesday,48.051500000000004,50.324,86.25,19.68795,506
2011-01-27,spring,January,0,Thursday,46.391,51.772999999999996,68.75,7.627078999999999,431
2011-01-28,spring,January,0,Friday,47.016676399999994,52.098530000000004,79.30430000000001,8.2611,1167
2011-01-29,spring,January,0,Saturday,46.5033236,51.09134,65.1739,9.739455000000001,1098
2011-01-30,spring,January,0,Sunday,47.9793236,54.52898,72.2174,4.956834199999999,1096
2011-01-31,spring,January,0,Monday,45.3454754,48.7625,60.375,12.541864,1501
2011-02-01,spring,February,0,Tuesday,46.1824412,53.1077,82.9565,3.5652709999999996,1360
2011-02-02,spring,February,0,Wednesday,51.188,54.89753,77.5417,17.708636,1526
2011-02-03,spring,February,0,Thursday,45.7974266,48.00902,43.7826,18.609384,1550
2011-02-04,spring,February,0,Friday,47.5942352,52.572829999999996,58.521699999999996,8.565213,1708
2011-02-05,spring,February,0,Saturday,49.219975399999996,53.87522,92.91669999999999,10.792293,1005
2011-02-06,spring,February,0,Sunday,53.0944754,58.250389999999996,56.833299999999994,9.5006,1623
2011-02-07,spring,February,0,Monday,52.049024599999996,59.32922,73.83330000000001,3.0423561000000006,1712
2011-02-08,spring,February,0,Tuesday,48.297475399999996,49.84214,53.7917,24.25065,1530
2011-02-09,spring,February,0,Wednesday,41.9469854,44.98547,49.4783,12.652213,1605
2011-02-10,spring,February,0,Thursday,42.652882399999996,45.459320000000005,43.7391,14.869645,1538
2011-02-11,spring,February,0,Friday,45.9549158,51.21581,50.6364,7.272849999999999,1746
2011-02-12,spring,February,0,Saturday,48.420500000000004,52.96586,54.4167,13.625589000000002,1472
2011-02-13,spring,February,0,Sunday,55.359323599999996,61.17017,45.7391,17.479160999999998,1589
2011-02-14,spring,February,0,Monday,62.626999999999995,67.8515,37.583299999999994,27.999836,1913
2011-02-15,spring,February,0,Tuesday,51.6372206,54.88466,31.434800000000003,19.522057999999998,1815
2011-02-16,spring,February,0,Wednesday,55.4876618,60.458,42.3478,16.869996999999998,2115
2011-02-17,spring,February,0,Thursday,64.16447539999999,70.57921999999999,50.5,15.416968,2475
